Event_Number,Event_Date,Event_Return,Entry_Date,Entry_Price,Holding_Period,Exit_Date,Exit_Price,Forward_Return
107,2011-08-05,-0.022609589463865043,2011-08-08,5083.85009765625,3,2011-08-10,5161.0,0.015175487251152031
107,2011-08-05,-0.022609589463865043,2011-08-08,5083.85009765625,5,2011-08-12,5072.9501953125,-0.0021440251255195886
108,2011-08-18,-0.02223830106015723,2011-08-19,4859.2998046875,1,2011-08-19,4845.64990234375,-0.002809026586625185
108,2011-08-18,-0.02223830106015723,2011-08-19,4859.2998046875,3,2011-08-23,4948.89990234375,0.01843889063395876
108,2011-08-18,-0.02223830106015723,2011-08-19,4859.2998046875,5,2011-08-25,4839.60009765625,-0.004054021736268787
109,2011-09-12,-0.022265342334898075,2011-09-13,4977.7998046875,1,2011-09-13,4940.9501953125,-0.007402790554232319
109,2011-09-12,-0.022265342334898075,2011-09-13,4977.7998046875,3,2011-09-15,5075.7001953125,0.019667402158843217
109,2011-09-12,-0.022265342334898075,2011-09-13,4977.7998046875,5,2011-09-19,5031.9501953125,0.01087837855070184
110,2011-09-22,-0.04083185070983297,2011-09-23,4873.75,1,2011-09-23,4867.75,-0.0012310848935624952
110,2011-09-22,-0.04083185070983297,2011-09-23,4873.75,3,2011-09-27,4971.25,0.020005129520389797
110,2011-09-22,-0.04083185070983297,2011-09-23,4873.75,5,2011-09-29,5015.4501953125,0.02907416164401133
111,2011-11-21,-0.025979394207947815,2011-11-22,4794.85009765625,1,2011-11-22,4812.35009765625,0.0036497491357558864
111,2011-11-21,-0.025979394207947815,2011-11-22,4794.85009765625,3,2011-11-25,4710.0498046875,-0.017685702627116773
111,2011-11-21,-0.025979394207947815,2011-11-22,4794.85009765625,5,2011-11-29,4805.10009765625,0.002137710208085508
112,2011-11-23,-0.022005859963373453,2011-11-25,4731.2998046875,1,2011-11-25,4710.0498046875,-0.0044913661947498795
112,2011-11-23,-0.022005859963373453,2011-11-25,4731.2998046875,3,2011-11-29,4805.10009765625,0.015598312517763668
112,2011-11-23,-0.022005859963373453,2011-11-25,4731.2998046875,5,2011-12-01,4936.85009765625,0.0434447829252127
113,2011-12-08,-0.023495870307348232,2011-12-09,4870.75,1,2011-12-09,4866.7001953125,-0.0008314540240209611
113,2011-12-08,-0.023495870307348232,2011-12-09,4870.75,3,2011-12-13,4800.60009765625,-0.014402279391007577
113,2011-12-08,-0.023495870307348232,2011-12-09,4870.75,5,2011-12-15,4746.35009765625,-0.025540194496484148
114,2011-12-12,-0.02097932758516552,2011-12-13,4733.60009765625,1,2011-12-13,4800.60009765625,0.01415413186956238
114,2011-12-12,-0.02097932758516552,2011-12-13,4733.60009765625,3,2011-12-15,4746.35009765625,0.0026935101692078245
114,2011-12-12,-0.02097932758516552,2011-12-13,4733.60009765625,5,2011-12-19,4613.10009765625,-0.025456311795257758
115,2012-01-30,-0.02255660964501549,2012-01-31,5125.25,1,2012-01-31,5199.25,0.01443832008194712
115,2012-01-30,-0.02255660964501549,2012-01-31,5125.25,3,2012-02-02,5269.89990234375,0.028222994457587358
115,2012-01-30,-0.02255660964501549,2012-01-31,5125.25,5,2012-02-06,5361.64990234375,0.04612456023486655
116,2012-02-27,-0.027277846997348587,2012-02-28,5310.5,1,2012-02-28,5375.5,0.012239902080783294
116,2012-02-27,-0.027277846997348587,2012-02-28,5310.5,3,2012-03-01,5339.75,0.005507955936352449
116,2012-02-27,-0.027277846997348587,2012-02-28,5310.5,5,2012-03-05,5280.35009765625,-0.005677413114348884
